state,region,site_name,site_url,search_url
Alabama,auburn,auburn,https://auburn.craigslist.org/,https://auburn.craigslist.org/search/apa
Alabama,birmingham,bham,https://bham.craigslist.org/,https://bham.craigslist.org/search/apa
Alabama,dothan,dothan,https://dothan.craigslist.org/,https://dothan.craigslist.org/search/apa
Alabama,florence / muscle shoals,shoals,https://shoals.craigslist.org/,https://shoals.craigslist.org/search/apa
Alabama,gadsden-anniston,gadsden,https://gadsden.craigslist.org/,https://gadsden.craigslist.org/search/apa
Alabama,huntsville / decatur,huntsville,https://huntsville.craigslist.org/,https://huntsville.craigslist.org/search/apa
Alabama,mobile,mobile,https://mobile.craigslist.org/,https://mobile.craigslist.org/search/apa
Alabama,montgomery,montgomery,https://montgomery.craigslist.org/,https://montgomery.craigslist.org/search/apa
Alabama,tuscaloosa,tuscaloosa,https://tuscaloosa.craigslist.org/,https://tuscaloosa.craigslist.org/search/apa
Alaska,anchorage / mat-su,anchorage,https://anchorage.craigslist.org/,https://anchorage.craigslist.org/search/apa
Alaska,fairbanks,fairbanks,https://fairbanks.craigslist.org/,https://fairbanks.craigslist.org/search/apa
Alaska,kenai peninsula,kenai,https://kenai.craigslist.org/,https://kenai.craigslist.org/search/apa
Alaska,southeast alaska,juneau,https://juneau.craigslist.org/,https://juneau.craigslist.org/search/apa
Arizona,flagstaff / sedona,flagstaff,https://flagstaff.craigslist.org/,https://flagstaff.craigslist.org/search/apa
Arizona,mohave county,mohave,https://mohave.craigslist.org/,https://mohave.craigslist.org/search/apa
Arizona,phoenix,phoenix,https://phoenix.craigslist.org/,https://phoenix.craigslist.org/search/apa
Arizona,prescott,prescott,https://prescott.craigslist.org/,https://prescott.craigslist.org/search/apa
Arizona,show low,showlow,https://showlow.craigslist.org/,https://showlow.craigslist.org/search/apa
Arizona,sierra vista,sierravista,https://sierravista.craigslist.org/,https://sierravista.craigslist.org/search/apa
Arizona,tucson,tucson,https://tucson.craigslist.org/,https://tucson.craigslist.org/search/apa
Arizona,yuma,yuma,https://yuma.craigslist.org/,https://yuma.craigslist.org/search/apa
Arkansas,fayetteville ,fayar,https://fayar.craigslist.org/,https://fayar.craigslist.org/search/apa
Arkansas,fort smith,fortsmith,https://fortsmith.craigslist.org/,https://fortsmith.craigslist.org/search/apa
Arkansas,jonesboro,jonesboro,https://jonesboro.craigslist.org/,https://jonesboro.craigslist.org/search/apa
Arkansas,little rock,littlerock,https://littlerock.craigslist.org/,https://littlerock.craigslist.org/search/apa
Arkansas,texarkana,texarkana,https://texarkana.craigslist.org/,https://texarkana.craigslist.org/search/apa
California,bakersfield,bakersfield,https://bakersfield.craigslist.org/,https://bakersfield.craigslist.org/search/apa
California,chico,chico,https://chico.craigslist.org/,https://chico.craigslist.org/search/apa
California,fresno / madera,fresno,https://fresno.craigslist.org/,https://fresno.craigslist.org/search/apa
California,gold country,goldcountry,https://goldcountry.craigslist.org/,https://goldcountry.craigslist.org/search/apa
California,hanford-corcoran,hanford,https://hanford.craigslist.org/,https://hanford.craigslist.org/search/apa
California,humboldt county,humboldt,https://humboldt.craigslist.org/,https://humboldt.craigslist.org/search/apa
California,imperial county,imperial,https://imperial.craigslist.org/,https://imperial.craigslist.org/search/apa
California,inland empire,inlandempire,https://inlandempire.craigslist.org/,https://inlandempire.craigslist.org/search/apa
California,los angeles,losangeles,https://losangeles.craigslist.org/,https://losangeles.craigslist.org/search/apa
California,mendocino county,mendocino,https://mendocino.craigslist.org/,https://mendocino.craigslist.org/search/apa
California,merced,merced,https://merced.craigslist.org/,https://merced.craigslist.org/search/apa
California,modesto,modesto,https://modesto.craigslist.org/,https://modesto.craigslist.org/search/apa
California,monterey bay,monterey,https://monterey.craigslist.org/,https://monterey.craigslist.org/search/apa
California,orange county,orangecounty,https://orangecounty.craigslist.org/,https://orangecounty.craigslist.org/search/apa
California,palm springs,palmsprings,https://palmsprings.craigslist.org/,https://palmsprings.craigslist.org/search/apa
California,redding,redding,https://redding.craigslist.org/,https://redding.craigslist.org/search/apa
California,sacramento,sacramento,https://sacramento.craigslist.org/,https://sacramento.craigslist.org/search/apa
California,san diego,sandiego,https://sandiego.craigslist.org/,https://sandiego.craigslist.org/search/apa
California,san francisco bay area,sfbay,https://sfbay.craigslist.org/,https://sfbay.craigslist.org/search/apa
California,san luis obispo,slo,https://slo.craigslist.org/,https://slo.craigslist.org/search/apa
California,santa barbara,santabarbara,https://santabarbara.craigslist.org/,https://santabarbara.craigslist.org/search/apa
California,santa maria,santamaria,https://santamaria.craigslist.org/,https://santamaria.craigslist.org/search/apa
California,siskiyou county,siskiyou,https://siskiyou.craigslist.org/,https://siskiyou.craigslist.org/search/apa
California,stockton,stockton,https://stockton.craigslist.org/,https://stockton.craigslist.org/search/apa
California,susanville,susanville,https://susanville.craigslist.org/,https://susanville.craigslist.org/search/apa
California,ventura county,ventura,https://ventura.craigslist.org/,https://ventura.craigslist.org/search/apa
California,visalia-tulare,visalia,https://visalia.craigslist.org/,https://visalia.craigslist.org/search/apa
California,yuba-sutter,yubasutter,https://yubasutter.craigslist.org/,https://yubasutter.craigslist.org/search/apa
Colorado,boulder,boulder,https://boulder.craigslist.org/,https://boulder.craigslist.org/search/apa
Colorado,colorado springs,cosprings,https://cosprings.craigslist.org/,https://cosprings.craigslist.org/search/apa
Colorado,denver,denver,https://denver.craigslist.org/,https://denver.craigslist.org/search/apa
Colorado,eastern CO,eastco,https://eastco.craigslist.org/,https://eastco.craigslist.org/search/apa
Colorado,fort collins / north CO,fortcollins,https://fortcollins.craigslist.org/,https://fortcollins.craigslist.org/search/apa
Colorado,high rockies,rockies,https://rockies.craigslist.org/,https://rockies.craigslist.org/search/apa
Colorado,pueblo,pueblo,https://pueblo.craigslist.org/,https://pueblo.craigslist.org/search/apa
Colorado,western slope,westslope,https://westslope.craigslist.org/,https://westslope.craigslist.org/search/apa
Connecticut,eastern CT,newlondon,https://newlondon.craigslist.org/,https://newlondon.craigslist.org/search/apa
Connecticut,hartford,hartford,https://hartford.craigslist.org/,https://hartford.craigslist.org/search/apa
Connecticut,new haven,newhaven,https://newhaven.craigslist.org/,https://newhaven.craigslist.org/search/apa
Connecticut,northwest CT,nwct,https://nwct.craigslist.org/,https://nwct.craigslist.org/search/apa
Delaware,delaware,delaware,https://delaware.craigslist.org/,https://delaware.craigslist.org/search/apa
District of Columbia,washington,washingtondc,https://washingtondc.craigslist.org/,https://washingtondc.craigslist.org/search/apa
Florida,broward county,http://miamibrw/,http://miami.craigslist.org/brw/,http://miami.craigslist.org/brw/search/apa
Florida,daytona beach,daytona,https://daytona.craigslist.org/,https://daytona.craigslist.org/search/apa
Florida,florida keys,keys,https://keys.craigslist.org/,https://keys.craigslist.org/search/apa
Florida,fort lauderdale,fortlauderdale,https://fortlauderdale.craigslist.org/,https://fortlauderdale.craigslist.org/search/apa
Florida,ft myers / SW florida,fortmyers,https://fortmyers.craigslist.org/,https://fortmyers.craigslist.org/search/apa
Florida,gainesville,gainesville,https://gainesville.craigslist.org/,https://gainesville.craigslist.org/search/apa
Florida,heartland florida,cfl,https://cfl.craigslist.org/,https://cfl.craigslist.org/search/apa
Florida,jacksonville,jacksonville,https://jacksonville.craigslist.org/,https://jacksonville.craigslist.org/search/apa
Florida,lakeland,lakeland,https://lakeland.craigslist.org/,https://lakeland.craigslist.org/search/apa
Florida,miami / dade,http://miamimdc/,http://miami.craigslist.org/mdc/,http://miami.craigslist.org/mdc/search/apa
Florida,north central FL,lakecity,https://lakecity.craigslist.org/,https://lakecity.craigslist.org/search/apa
Florida,ocala,ocala,https://ocala.craigslist.org/,https://ocala.craigslist.org/search/apa
Florida,okaloosa / walton,okaloosa,https://okaloosa.craigslist.org/,https://okaloosa.craigslist.org/search/apa
Florida,orlando,orlando,https://orlando.craigslist.org/,https://orlando.craigslist.org/search/apa
Florida,panama city,panamacity,https://panamacity.craigslist.org/,https://panamacity.craigslist.org/search/apa
Florida,pensacola,pensacola,https://pensacola.craigslist.org/,https://pensacola.craigslist.org/search/apa
Florida,sarasota-bradenton,sarasota,https://sarasota.craigslist.org/,https://sarasota.craigslist.org/search/apa
Florida,south florida,miami,https://miami.craigslist.org/,https://miami.craigslist.org/search/apa
Florida,space coast,spacecoast,https://spacecoast.craigslist.org/,https://spacecoast.craigslist.org/search/apa
Florida,st augustine,staugustine,https://staugustine.craigslist.org/,https://staugustine.craigslist.org/search/apa
Florida,tallahassee,tallahassee,https://tallahassee.craigslist.org/,https://tallahassee.craigslist.org/search/apa
Florida,tampa bay area,tampa,https://tampa.craigslist.org/,https://tampa.craigslist.org/search/apa
Florida,treasure coast,treasure,https://treasure.craigslist.org/,https://treasure.craigslist.org/search/apa
Florida,palm beach county,http://miamipbc/,http://miami.craigslist.org/pbc/,http://miami.craigslist.org/pbc/search/apa
Georgia,albany ,albanyga,https://albanyga.craigslist.org/,https://albanyga.craigslist.org/search/apa
Georgia,athens,athensga,https://athensga.craigslist.org/,https://athensga.craigslist.org/search/apa
